image,class
v_BabyCrawling_g08_c01.avi_frame1.jpg,BabyCrawling
v_BabyCrawling_g08_c01.avi_frame11.jpg,BabyCrawling
v_BabyCrawling_g08_c01.avi_frame13.jpg,BabyCrawling
v_BabyCrawling_g08_c01.avi_frame15.jpg,BabyCrawling
v_BabyCrawling_g08_c01.avi_frame17.jpg,BabyCrawling
v_BabyCrawling_g08_c01.avi_frame3.jpg,BabyCrawling
v_BabyCrawling_g08_c01.avi_frame5.jpg,BabyCrawling
v_BabyCrawling_g08_c01.avi_frame7.jpg,BabyCrawling
v_BabyCrawling_g08_c01.avi_frame9.jpg,BabyCrawling
v_BabyCrawling_g08_c02.avi_frame1.jpg,BabyCrawling
v_BabyCrawling_g08_c02.avi_frame3.jpg,BabyCrawling
v_BabyCrawling_g08_c02.avi_frame5.jpg,BabyCrawling
v_BabyCrawling_g08_c02.avi_frame7.jpg,BabyCrawling
v_BabyCrawling_g08_c02.avi_frame9.jpg,BabyCrawling
v_BabyCrawling_g08_c03.avi_frame1.jpg,BabyCrawling
v_BabyCrawling_g08_c03.avi_frame3.jpg,BabyCrawling
v_BabyCrawling_g08_c03.avi_frame5.jpg,BabyCrawling
v_BabyCrawling_g08_c03.avi_frame7.jpg,BabyCrawling
v_BabyCrawling_g08_c03.avi_frame9.jpg,BabyCrawling
v_BabyCrawling_g08_c04.avi_frame1.jpg,BabyCrawling
v_BabyCrawling_g08_c04.avi_frame3.jpg,BabyCrawling
v_BabyCrawling_g08_c04.avi_frame5.jpg,BabyCrawling
v_BabyCrawling_g08_c04.avi_frame7.jpg,BabyCrawling
v_BabyCrawling_g09_c01.avi_frame1.jpg,BabyCrawling
v_BabyCrawling_g09_c01.avi_frame11.jpg,BabyCrawling
v_BabyCrawling_g09_c01.avi_frame3.jpg,BabyCrawling
v_BabyCrawling_g09_c01.avi_frame5.jpg,BabyCrawling
v_BabyCrawling_g09_c01.avi_frame7.jpg,BabyCrawling
v_BabyCrawling_g09_c01.avi_frame9.jpg,BabyCrawling
v_BabyCrawling_g09_c02.avi_frame1.jpg,BabyCrawling
v_BabyCrawling_g09_c02.avi_frame11.jpg,BabyCrawling
v_BabyCrawling_g09_c02.avi_frame13.jpg,BabyCrawling
v_BabyCrawling_g09_c02.avi_frame15.jpg,BabyCrawling
v_BabyCrawling_g09_c02.avi_frame17.jpg,BabyCrawling
v_BabyCrawling_g09_c02.avi_frame3.jpg,BabyCrawling
v_BabyCrawling_g09_c02.avi_frame5.jpg,BabyCrawling
v_BabyCrawling_g09_c02.avi_frame7.jpg,BabyCrawling
v_BabyCrawling_g09_c02.avi_frame9.jpg,BabyCrawling
v_BabyCrawling_g09_c03.avi_frame1.jpg,BabyCrawling
v_BabyCrawling_g09_c03.avi_frame11.jpg,BabyCrawling
v_BabyCrawling_g09_c03.avi_frame3.jpg,BabyCrawling
v_BabyCrawling_g09_c03.avi_frame5.jpg,BabyCrawling
v_BabyCrawling_g09_c03.avi_frame7.jpg,BabyCrawling
v_BabyCrawling_g09_c03.avi_frame9.jpg,BabyCrawling
